Name	Website	Phone	Address	active
Bazbeaux	http://www.bazbeaux.com/		329 Massachusetts Ave, Indianapolis, IN 46204	1
Long's Bakery		317.632.3741	1453 N Tremont St, Indianapolis, IN 46222	1
The Donut Project	www.thedoughnutproject.com	212.691.5000	10 Morton Street, NY, NY  10014	1
Taiyo	www.taiyoramen.com		130 Clairemont Ave. Suite 100, Decatur, GA  30030	1
The Keyport Fishery	http://keyportfishery.com/		150 W Front St, Keyport, NJ 07735	1
Ton ton	http://www.tontonramen.com/		675 Ponce de Leon Ave., NE, Atlanta, GA	1
Joe's Shanghai	https://www.joeshanghairestaurants.com/		24 W. 56th Street, New York, NY 10019 (Multiple Locations)	1
Panna II Garden	http://www.panna2.com/index.html		93 1st Avenue #2, New York, NY 10003	1
Joe's Pizza	http://www.joespizzanyc.com/		7 Carmine Street, New York, NY	1
Browns Bagels	https://www.brownsbagels.com/		132 W 31st St, New York, NY 10001	1
Katz's Delicatessen	https://www.katzsdelicatessen.com/		205 E Houston St, New York, NY 10002	1
Morimoto	http://morimotonyc.me/		88 10th Ave, New York, NY 10011	1
Soho South Cafe	www.sohosouthcafe.com/		12 W Liberty St, Savannah, GA 31401	1
Barcelona	http://www.barcelonawinebar.com/		240 North Highland Avenue Northeast, Atlanta, GA 30307	1
Righteous Que		(678) 221-4783	1050 E Piedmont Rd, Marietta, GA 30062	1
Ssam Burger		(404) 609-5533	2072 Defoors Ferry Rd NW, Atlanta, GA 30318	1
El Toro Taqueria		(415) 431-3351	598 Valencia St, San Francisco, CA 94110	1
Panchita's Restaurant		(415) 431-4232	3091 16th St, San Francisco, CA 94103	1
El Farolito		(714) 993-7880	201 S Bradford Ave, Placentia, CA 92870	1
Gates Bar-B-Q		(913) 383-1752	2001 W 103rd Terrace, Leawood, KS 66206	1
Saxon + Parole		(212) 254-0350	316 Bowery, New York, NY 10012	1
Pizza Time		904-819-0133	124 St George St, St. Augustine, FL 32084	1
Sandy Bottom Bagels	http://www.sandybottombagels.com		242 Retreat Village, Saint Simons Island, GA 31522	1
Las Brasas 	http://www.lasbrasasdecatur.com/		614 Church St, Decatur, GA 30030	1
Arepa's and Co	http://www.arepasandco.us/		416 E 3rd st Dayton OH 45402	1
Barley's	http://barleysknoxville.com/		200 E Jackson Ave, Knoxville, TN 37915	1
JINYA Ramen Bar	https://jinya-ramenbar.com/		5975 Roswell Rd B217, Sandy Springs, GA 30328	1
Hotel Fletcher		443-465-8759	271 Glen Iris Dr NE, Atlanta, GA 30312	1
